title,artist,link
Study for Mural - Industrial Unrest,R Callender,https://collections.ed.ac.uk/art/record/21147?highlight=*:*
Untitled,David C Duke,https://collections.ed.ac.uk/art/record/22574?highlight=*:*
Riders from West Frieze of the Parthenon (1836-1837),NA,https://collections.ed.ac.uk/art/record/20663?highlight=*:*
Teacup,Emma Gillies,https://collections.ed.ac.uk/art/record/53654?highlight=*:*
Untitled - Children Playing (1963),Monika L I Uecker,https://collections.ed.ac.uk/art/record/99445?highlight=*:*
Reclining Male Nude (Feb 1951),L Weir,https://collections.ed.ac.uk/art/record/21223?highlight=*:*
Male Nude with Staff (verso),Zygmunt Bukowski,https://collections.ed.ac.uk/art/record/22654?highlight=*:*
Portrait of a Woman (1939),Olivia Cochrane,https://collections.ed.ac.uk/art/record/21132?highlight=*:*
Untitled (Unknown),Margaret Clyde,https://collections.ed.ac.uk/art/record/21628?highlight=*:*
Reclining Male Nude (1957),William J. Dungate,https://collections.ed.ac.uk/art/record/20964?highlight=*:*
Broderie Anglais jacket,Unknown,https://collections.ed.ac.uk/art/record/102664?highlight=*:*
Teacup,Emma Gillies,https://collections.ed.ac.uk/art/record/53652?highlight=*:*
Study for picture 'Waking of Brynhildr' (1897),Pavlov Chailly,https://collections.ed.ac.uk/art/record/50470?highlight=*:*
No 98 (1960),John Johnstone,https://collections.ed.ac.uk/art/record/99256?highlight=*:*
Portrait of a Woman (1959),Kenneth Dingwall,https://collections.ed.ac.uk/art/record/21328?highlight=*:*
Untitled (Unknown),David Giblin,https://collections.ed.ac.uk/art/record/21635?highlight=*:*
Unknown,George Roderick Carmichael,https://collections.ed.ac.uk/art/record/50566?highlight=*:*
Unknown (1957),Alejandro B. Brasó,https://collections.ed.ac.uk/art/record/50602?highlight=*:*
Untitled (1967),Laurence Roche,https://collections.ed.ac.uk/art/record/22480?highlight=*:*
Bust of Queen Nefertiti (Coloured),NA,https://collections.ed.ac.uk/art/record/20621?highlight=*:*
Untitled - Cubist Guitar Player (1963),Ann F Ward,https://collections.ed.ac.uk/art/record/99350?highlight=*:*
Legless Graham (Unknown),Jennifer Blake,https://collections.ed.ac.uk/art/record/21997?highlight=*:*
Saucer,Emma Gillies,https://collections.ed.ac.uk/art/record/53630?highlight=*:*
Side Plate,Emma Gillies,https://collections.ed.ac.uk/art/record/53616?highlight=*:*
Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21627?highlight=*:*
Life Painting (1918),Anne Redpath,https://collections.ed.ac.uk/art/record/20735?highlight=*:*
Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/22000?highlight=*:*
Chinese spectacle case,Unknown,https://collections.ed.ac.uk/art/record/102704?highlight=*:*
Untitled - Portrait of A Woman (1982),Tina-Marja Leppanen-Ritchie,https://collections.ed.ac.uk/art/record/99434?highlight=*:*
"3,500 Men (May 1986)",Andrew Arnott,https://collections.ed.ac.uk/art/record/99470?highlight=*:*
Unknown (1989),Heather Macdonald,https://collections.ed.ac.uk/art/record/50428?highlight=*:*
Portrait of a Man (1968),Donald C S Shaw,https://collections.ed.ac.uk/art/record/21403?highlight=*:*
Portrait of a Woman (1949),Leszek Muszynski,https://collections.ed.ac.uk/art/record/21076?highlight=*:*
Small Portrait of a Woman in Brown,Polly A. Lister,https://collections.ed.ac.uk/art/record/22672?highlight=*:*
Woodland #4 (2007),Asbjorn Hollerud,https://collections.ed.ac.uk/art/record/99898?highlight=*:*
